"yyyymmdd"	"conds"	"hour"	"min"	"dewpti"	"dewptm"	"fog"	"hail"	"heatindexi"	"heatindexm"	"hum"	"icon"	"metar"	"precipi"	"precipm"	"pressurei"	"pressurem"	"rain"	"snow"	"tempi"	"tempm"	"thunder"	"tornado"	"visi"	"vism"	"wdird"	"wdire"	"wgusti"	"wgustm"	"windchilli"	"windchillm"	"wspdi"	"wspdm"
"20130319"	"Light Snow"	"00"	"19"	"26.6"	"-3.0"	"0"	"0"	"-9999"	"-9999"	"93"	"snow"	"SPECI KBOS 190419Z 12015KT 3/4SM R04R/5000V5500FT -SN BR SCT006 OVC010 M02/M03 A3025 RMK AO2 TWR VIS 1 1/4 P0000"	"0.00"	"0.0"	"30.25"	"1024.3"	"0"	"1"	"28.4"	"-2.0"	"0"	"0"	"0.8"	"1.2"	"120"	"ESE"	"-9999.0"	"-9999.0"	"16.2"	"-8.8"	"17.3"	"27.8"	
"20130319"	"Light Snow"	"00"	"28"	"26.6"	"-3.0"	"0"	"0"	"-9999"	"-9999"	"86"	"snow"	"SPECI KBOS 190428Z 11015KT 3/4SM R04R/4500V5000FT -SN BR BKN007 OVC010 M01/M03 A3024 RMK AO2 P0001"	"0.01"	"0.3"	"30.24"	"1023.9"	"0"	"1"	"30.2"	"-1.0"	"0"	"0"	"0.8"	"1.2"	"110"	"ESE"	"-9999.0"	"-9999.0"	"18.5"	"-7.5"	"17.3"	"27.8"	
"20130319"	"Snow"	"00"	"54"	"28.0"	"-2.2"	"1"	"0"	"-9999"	"-9999"	"92"	"snow"	"METAR KBOS 190454Z 10016KT 1/2SM R04R/3500V4000FT SN FZFG BKN007 OVC010 M01/M02 A3021 RMK AO2 TWR VIS 3/4 PRESFR SLP231 P0002 T10111022 400061061"	"0.02"	"0.5"	"30.22"	"1023.1"	"0"	"1"	"30.0"	"-1.1"	"0"	"0"	"0.5"	"0.8"	"100"	"East"	"-9999.0"	"-9999.0"	"17.9"	"-7.8"	"18.4"	"29.6"	
"20130319"	"Light Snow"	"01"	"54"	"28.9"	"-1.7"	"0"	"0"	"-9999"	"-9999"	"92"	"snow"	"METAR KBOS 190554Z 12020KT 1/2SM R04R/5500VP6000FT -SN BR BKN005 OVC010 M01/M02 A3017 RMK AO2 SFC VIS 1 SLP214 P0004 60008 T10061017 10006 21017 58041"	"0.04"	"1.0"	"30.17"	"1021.4"	"0"	"1"	"30.9"	"-0.6"	"0"	"0"	"0.5"	"0.8"	"120"	"ESE"	"-9999.0"	"-9999.0"	"17.8"	"-7.9"	"23.0"	"37.0"	
"20130319"	"Light Snow"	"02"	"54"	"28.9"	"-1.7"	"0"	"0"	"-9999"	"-9999"	"92"	"snow"	"METAR KBOS 190654Z 13016KT 1/2SM R04R/4500V5500FT -SN BR BKN006 OVC010 M01/M02 A3012 RMK AO2 SFC VIS 3/4 SLP199 P0003 T10061017"	"0.03"	"0.8"	"30.12"	"1019.9"	"0"	"1"	"30.9"	"-0.6"	"0"	"0"	"0.5"	"0.8"	"130"	"SE"	"-9999.0"	"-9999.0"	"19.1"	"-7.2"	"18.4"	"29.6"	
"20130319"	"Snow"	"03"	"54"	"30.0"	"-1.1"	"1"	"0"	"-9999"	"-9999"	"92"	"snow"	"METAR KBOS 190754Z 11018KT 1/2SM R04R/4000V5500FT SN FG VV005 00/M01 A3011 RMK AO2 PK WND 12026/0719 SLP195 P0002 T00001011"	"0.02"	"0.5"	"30.11"	"1019.5"	"0"	"1"	"32.0"	"0.0"	"0"	"0"	"0.5"	"0.8"	"110"	"ESE"	"-9999.0"	"-9999.0"	"19.8"	"-6.8"	"20.7"	"33.3"	
"20130319"	"Light Snow"	"04"	"36"	"30.2"	"-1.0"	"0"	"0"	"-9999"	"-9999"	"93"	"snow"	"SPECI KBOS 190836Z 10020G27KT 1SM R04R/6000VP6000FT -SN BR VV007 00/M01 A3008 RMK AO2 PK WND 11027/0831 P0003"	"0.03"	"0.8"	"30.08"	"1018.5"	"0"	"1"	"32.0"	"0.0"	"0"	"0"	"1.0"	"1.6"	"100"	"East"	"31.1"	"50.0"	"19.2"	"-7.1"	"23.0"	"37.0"	
"20130319"	"Light Snow"	"04"	"45"	"30.2"	"-1.0"	"0"	"0"	"-9999"	"-9999"	"93"	"snow"	"SPECI KBOS 190845Z 10021G26KT 3/4SM R04R/4000VP6000FT -SN BR BKN007 OVC010 00/M01 A3007 RMK AO2 PK WND 11027/0831 TWR VIS 1 P0003"	"0.03"	"0.8"	"30.07"	"1018.2"	"0"	"1"	"32.0"	"0.0"	"0"	"0"	"0.8"	"1.2"	"100"	"East"	"29.9"	"48.2"	"18.9"	"-7.3"	"24.2"	"38.9"	
"20130319"	"Light Snow"	"04"	"54"	"30.9"	"-0.6"	"0"	"0"	"-9999"	"-9999"	"96"	"snow"	"METAR KBOS 190854Z 10022G27KT 3/4SM R04R/4000V6000FT -SN BR BKN007 OVC010 00/M01 A3006 RMK AO2 PK WND 10027/0852 TWR VIS 1 SLP179 P0004 60009 T00001006 58035"	"0.04"	"1.0"	"30.06"	"1017.9"	"0"	"1"	"32.0"	"0.0"	"0"	"0"	"0.8"	"1.2"	"100"	"East"	"31.1"	"50.0"	"18.6"	"-7.4"	"25.3"	"40.7"	
"20130319"	"Heavy Snow"	"05"	"16"	"30.2"	"-1.0"	"1"	"0"	"-9999"	"-9999"	"93"	"snow"	"SPECI KBOS 190916Z 09022KT 1/4SM R04R/2600V3500FT +SN FG BKN004 OVC010 00/M01 A3007 RMK AO2 PK WND 11030/0906 TWR VIS 3/4 P0001"	"0.01"	"0.3"	"30.07"	"1018.2"	"0"	"1"	"32.0"	"0.0"	"0"	"0"	"0.2"	"0.4"	"90"	"East"	"-9999.0"	"-9999.0"	"18.6"	"-7.4"	"25.3"	"40.7"	
